Name,Team,Age,Apps,Mins,Min / app,Goals,Assists,Yel,Red,SpG,PS%,Tackles,Tackles2,Fouls,Drb,KeyP,Fouled,Disp,AvgP
Rémy Amieux,NAC Breda,28,21,1711,81,0,1,5,0,0.3,73.9,48,2.3,1.6,0.6,0.4,0.4,0.2,30.3
Renato Ibarra,Vitesse,24,23,1115,48,2,2,2,0,1.5,83.1,23,1,0.8,0.4,0.2,0.1,0.2,33.7
Renato Tapia,Twente,20,17,1119,66,5,0,2,1,1.5,70.5,49,2.9,1.5,1.5,0.8,1.5,1.3,41.7
Ricardo Kishna,Ajax,20,26,1472,57,5,5,1,0,1.4,76.1,18,0.7,0.6,0.3,1.3,2.4,2.3,23.1
Ricardo van Rhijn,Ajax,24,28,2500,89,2,1,1,0,1.2,84.7,73,2.6,0.8,0.8,0.7,0.9,1.1,19.5
Rick Karsdorp,Feyenoord,20,19,1246,66,0,2,1,1,0.2,77.6,38,2,0.6,1.2,0.8,0.6,1,21.3
Rick Kruys,Excelsior,30,28,2390,85,0,1,2,0,0.5,81.5,59,2.1,1.5,0.7,0.1,0.3,0.2,27.2
Rick ten Voorde,FC Dordrecht,24,25,1298,52,1,1,0,0,0.6,68.5,10,0.4,0.6,0.4,0.7,0.7,0.3,26.8
Ricky van Haaren,FC Dordrecht,24,21,1507,72,1,0,1,0,1.5,77,32,1.5,0.5,1.2,1.1,0.8,1.6,17.1
Ridgeciano Haps,AZ Alkmaar,22,18,501,28,0,0,3,0,0.3,66.5,11,0.6,0.7,0.3,0.1,0.6,0.2,33.8
Riechedly Bazoer,Ajax,18,17,1215,71,1,0,2,0,1.5,86.9,26,1.5,1.2,0.4,0.9,0.8,0.6,34.3
Robbert Schilder,Twente,29,30,2550,85,0,0,2,0,0.4,81.7,60,2,0.9,0.7,0.8,0.9,0.5,18
Robbie Haemhouts,Willem II,31,31,2560,83,5,2,1,0,1.2,73.4,59,1.9,0.9,0.9,0.8,0.7,1.1,14
Robbin Ruiter,Utrecht,28,31,2722,88,0,0,1,0,0,57.6,0,0,0,0.1,0.3,0.8,0.3,31.3
Robert Braber,Willem II,32,28,1027,37,3,2,2,0,0.5,69,31,1.1,0.9,0.3,3.2,1.2,2.6,17.6
Robert Mühren,AZ Alkmaar,26,17,960,56,4,2,0,0,2.1,72.7,7,0.4,0.7,0.6,2.2,2.3,2,38.7
